match_id,home_tag,away_tag,home_team,away_team,home_team_position,away_team_position,home_team_score,away_team_score,season,competition,event,date,time,referee,away_ht_team_score,home_ht_team_score,home_formation,away_formation,home_manager,away_manager,attendance,home_team_foreigners%,away_team_foreigners%,home_team_avg_age,away_team_avg_age,home_team_PV,away_team_PV,home_team_MV,away_team_MV,available_capacity
3838009,fc-arsenal,tottenham-hotspur,Arsenal FC,Tottenham Hotspur,1,3,3,1,2022,Premier League,9. Matchday,"Sat, 10/1/22",1:30 PM,Anthony Taylor,1,1,4-2-3-1,3-4-2-1,Mikel Arteta,Antonio Conte,60278,72.7%,81.8%,24.8,28.3,€336.80m,€216.20m,€466.00m,€434.00m,60704
3838020,brighton-amp-hove-albion,tottenham-hotspur,Brighton & Hove Albion,Tottenham Hotspur,6,3,0,1,2022,Premier League,10. Matchday,"Sat, 10/8/22",6:30 PM,Tony Harrington,0,1,3-4-2-1,3-5-2 flat,Roberto De Zerbi,Antonio Conte,Referee:,54.5%,72.7%,27.6,28.2,€59.58m,€191.85m,€193.00m,€421.00m,31800
3838025,newcastle-united,fc-brentford,Newcastle United,Brentford FC,5,12,5,1,2022,Premier League,10. Matchday,"Sat, 10/8/22",4:00 PM,John Brooks,2,0,4-3-3 Attacking,3-5-2 flat,Eddie Howe,Thomas Frank,52067,36.4%,45.5%,27.9,25.9,€199.25m,€58.85m,€222.00m,€182.50m,52338
3838024,manchester-city,fc-southampton,Manchester City,Southampton FC,2,17,4,0,2022,Premier League,10. Matchday,"Sat, 10/8/22",4:00 PM,Andrew Madley,2,0,4-3-3 Attacking,4-2-3-1,Pep Guardiola,Ralph Hasenhüttl,53365,81.8%,54.5%,27.3,25.1,€555.90m,€122.75m,€760.00m,€182.00m,55017
3838021,fc-chelsea,wolverhampton-wanderers,Chelsea FC,Wolverhampton Wanderers,4,18,3,0,2022,Premier League,10. Matchday,"Sat, 10/8/22",4:00 PM,Simon Hooper,1,0,4-2-3-1,4-2-3-1,Graham Potter,Steve Davis,39940,63.6%,90.9%,26.5,28.2,€329.10m,€163.80m,€408.00m,€198.00m,40853
3838018,afc-bournemouth,leicester-city,AFC Bournemouth,Leicester City,8,19,2,1,2022,Premier League,10. Matchday,"Sat, 10/8/22",4:00 PM,Michael Salisbury,0,1,4-4-2,4-1-4-1,Gary O'Neil,Brendan Rodgers,Referee:,45.5%,63.6%,27.4,26.2,€116.10m,€182.60m,€104.00m,€267.00m,11329
3838013,leicester-city,nottingham-forest,Leicester City,Nottingham Forest,19,20,4,0,2022,Premier League,9. Matchday,"Mon, 10/3/22",9:00 PM,Robert Jones,3,0,4-1-4-1,4-2-3-1,Brendan Rodgers,Steve Cooper,32202,54.5%,45.5%,27.4,25.9,€151.44m,€87.67m,€277.00m,€167.00m,32273
3838012,leeds-united,aston-villa,Leeds United,Aston Villa,12,14,0,0,2022,Premier League,9. Matchday,"Sun, 10/2/22",5:30 PM,Stuart Attwell,0,0,4-2-3-1,4-3-3 Attacking,Jesse Marsch,Steven Gerrard,36582,81.8%,54.5%,25.5,27.9,€162.89m,€159.40m,€200.00m,€258.00m,37890
3838015,manchester-city,manchester-united,Manchester City,Manchester United,2,6,6,3,2022,Premier League,9. Matchday,"Sun, 10/2/22",3:00 PM,Michael Oliver,4,0,4-3-3 Attacking,4-2-3-1,Pep Guardiola,Erik ten Hag,53475,63.6%,72.7%,28.0,26.1,€551.00m,€380.37m,€683.00m,€512.00m,55017
3838016,fc-southampton,fc-everton,Southampton FC,Everton FC,16,11,1,2,2022,Premier League,9. Matchday,"Sat, 10/1/22",4:00 PM,Andre Marriner,0,0,4-4-2,4-3-3 Attacking,Ralph Hasenhüttl,Frank Lampard,30510,54.5%,45.5%,24.4,27.4,€97.05m,€152.20m,€174.00m,€204.80m,32384
3838014,fc-liverpool,brighton-amp-hove-albion,Liverpool FC,Brighton & Hove Albion,9,4,3,3,2022,Premier League,9. Matchday,"Sat, 10/1/22",4:00 PM,Andrew Madley,1,2,4-3-3 Attacking,3-4-2-1,Jürgen Klopp,Roberto De Zerbi,53294,81.8%,54.5%,28.8,27.5,€334.05m,€59.58m,€450.00m,€193.00m,54074
3838010,crystal-palace,fc-chelsea,Crystal Palace,Chelsea FC,17,5,1,2,2022,Premier League,9. Matchday,"Sat, 10/1/22",4:00 PM,Chris Kavanagh,1,1,4-3-3 Attacking,4-3-1-2,Patrick Vieira,Graham Potter,25198,36.4%,63.6%,27.2,27.6,€96.59m,€460.80m,€192.00m,€487.50m,26047
3838008,afc-bournemouth,fc-brentford,AFC Bournemouth,Brentford FC,13,10,0,0,2022,Premier League,9. Matchday,"Sat, 10/1/22",4:00 PM,Thomas Bramall,0,0,4-4-2,4-3-3 Attacking,Gary O'Neil,Thomas Frank,10126,36.4%,63.6%,27.0,26.3,€117.40m,€60.75m,€101.50m,€178.50m,11329
